"KOD","BIRTOKTER","MEGYEKOD","MEGYENEV","BIRTOKNEV","Y1382","Y13820","NEV_1382","Y1439","Y14390","NEVE_1439","Y1498","Y14980","NEVE_1498","v82_39","v39_98","v_82_98","v1","v2","v3"
"ZL162","10.7","ZL","Zala m.","Istvánd","nemesi","Gyor","Szerdahelyi","egyházi","bencések","pannonhalmi apát","egyházi","bencések","pannonhalmi apát","nemesi > egyházi","egyházi > egyházi","nemesi > egyházi","18","18","25"
"BI122","12.8","BI","Bihar m.","Andacs","nemesi","","Vásári","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL226","74.3","ZL","Zala m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL225","7.6","ZL","Zala m.","Orbányosfalva","nemesi","","Szentlászlói","bárói","Marcali Imre","","nemesi","","Hásságyi","nemesi > bárói","bárói > nemesi","nemesi > nemesi","17","13","28"
"ZL113","4.8","ZL","Zala m.","Petohenye","nemesi","Héder","Rohonci","bárói","Peto László","","nemesi","","Peto (gersei)","nemesi > bárói","bárói > nemesi","nemesi > nemesi","17","13","28"
"BÉ18","207","BÉ","Békés m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"VS63","20","VS","Vas m.","Csöpinc","nemesi","Nádasd","Nádasdi","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SM7","6.2","SM","Somogy m.","Jut","egyházi","székeskáptalan","váci","bárói","Marcali Imre és György","","bárói","Bátori György","babócsai urad.","egyházi > bárói","bárói > bárói","egyházi > bárói","6","9","10"
"TD29","27","TD","Torda m.","Sárpatak","nemesi","Kacsics","Szécsényi","nemesi","","Erdélyi (somkeréki)","nemesi","","Erdélyi (somkeréki), Székely (szentiváni)","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"BI100","70","BI","Bihar m.","Pata","egyházi","püspök","váradi","egyházi","püspök","váradi püspök","egyházi","püspök","váradi püspök","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SM16","15","SM","Somogy m.","Szántód","egyházi","bencések","tihanyi apát","egyházi","bencések","tihanyi apát","egyházi","bencések","tihanyi apát","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"TD26","80.6","TD","Torda m.","Sályi","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL73","66.9","ZL","Zala m.","Salomvár","nemesi","","Salamonvári","nemesi","","Ost János (herbortyai)","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL130","48.6","ZL","Zala m.","Kapornak","egyházi","bencések","kapornaki apát","egyházi","bencések","kapornaki apát","egyházi","bencések","kapornaki apát","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SZO2","18.3","SZO","Szolnok m.","Ug","nemesi","","Szunyog","nemesi","","Szunyog","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"TD30","24.9","TD","Torda m.","Gernyeszeg","nemesi","Kacsics","Szécsényi","nemesi","","Erdélyi (somkeréki)","nemesi","","Erdélyi (somkeréki)","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL157","131.9","ZL","Zala m.","Rezi","nemesi","Hermán","Lackfi","bárói","Peto László","","nemesi","","Peto (gersei)","nemesi > bárói","bárói > nemesi","nemesi > nemesi","17","13","28"
"TD31","49.4","TD","Torda m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL68","196.8","ZL","Zala m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"BI124","18.5","BI","Bihar m.","Keresztúr","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SM5","11.4","SM","Somogy m.","Gám","egyházi","társaskáptalan","fehérvári","egyházi","társaskáptalan","fehérvári káptalan","egyházi","társaskáptalan","fehérvári káptalan","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SM8","4.7","SM","Somogy m.","Maros","nemesi","Péc","Marcali","bárói","Marcali Imre és György","","bárói","Bátori György","babócsai urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"KL43","60.1","KL","Kolozs m.","Velkér","nemesi","","Tuzsoni","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"BI97","26.9","BI","Bihar m.","Tót","nemesi","Becsegergely","Léli","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZO19","24.8","SZO","Szolnok m.","Istvánháza","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"KL72","40.3","KL","Kolozs m.","Or","nemesi","Borsa","Iklódi","nemesi","","Iklódi","nemesi","","Iklódi és Dési","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SM224","8.4","SM","Somogy m.","Egyházaszamárd","vegyes","","vegyes","vegyes","","","vegyes","","","vegyes > vegyes","vegyes > vegyes","vegyes > vegyes","22","41","32"
"SM9","7.3","SM","Somogy m.","Potoly","nemesi","","Ugali","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"VS133","3.1","VS","Vas m.","Iklod","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SO13","132.7","SO","Solt m.","Izsák","nemesi","","Tetétleni","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"BI102","13.5","BI","Bihar m.","Sümegd","","","","nemesi","","","nemesi","","","  > nemesi","nemesi > nemesi","  > nemesi","5","36","6"
"FJ27","27.1","FJ","Fejér m.","Szentmiklós","egyházi","püspök","veszprémi","egyházi","püspök","veszprémi püspök","egyházi","püspök","veszprémi püspök","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SO10","72.7","SO","Solt m.","Solt","egyházi","érsek","kalocsai érsek","egyházi","érsek","kalocsai érsek","egyházi","érsek","kalocsai érsek","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SM203","27.1","SM","Somogy m.","Endréd","vegyes","","vegyes","vegyes","","","vegyes","","fehérvári kápt., nemesek","vegyes > vegyes","vegyes > vegyes","vegyes > vegyes","22","41","32"
"SM277","6.7","SM","Somogy m.","Sárkomár","","","","","","","nemesi","","","  >","  > nemesi","  > nemesi","1","6","6"
"ZL242","5","ZL","Zala m.","Szepezd","vegyes","","vegyes","vegyes","","","vegyes","","veszprémi püspök, nemesek","vegyes > vegyes","vegyes > vegyes","vegyes > vegyes","22","41","32"
"ZL83","4.1","ZL","Zala m.","Hottó","nemesi","Ákos","Mikcsfi","nemesi","","Ördög Miklós (pölöskei)","nemesi","","Ördög (pölöskei)","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL90","18.8","ZL","Zala m.","Egerszeg","királyi","város","","egyházi","püspök","veszprémi püspök","egyházi","püspök","veszprémi püspök","királyi > egyházi","egyházi > egyházi","királyi > egyházi","12","18","18"
"ZL218","9.8","ZL","Zala m.","Pacsa","nemesi","Héder","Rohonci","bárói","Peto László","","nemesi","","Peto (gersei), Szécsi (felsolendvai)","nemesi > bárói","bárói > nemesi","nemesi > nemesi","17","13","28"
